Altium Designer Pick and Place Locations
G:\My Drive\IVAN PALACIOS\Digitalizador\Digitalizador 3 Canales - RPi\PCB\Digitalizador_RPi_V2\Digitalizador_RPi\Project Outputs for Digitalizador_RPi\Pick Place for Digitalizador_RPi.csv

========================================================================================================================
File Design Information:

Date:       14/12/21
Time:       11:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Layer","Rotation","Comment"
"BT1","CR12202ZX","2600.000mil","452.361mil","2600.000mil","790.943mil","2600.000mil","790.944mil","TopLayer","270","CR1220-2ZX"
"C89","CAPC1608X90N","3951.968mil","2724.016mil","3951.969mil","2724.016mil","3951.968mil","2750.000mil","TopLayer","270","0603B103K500NT"
"C88","CAPC1608X90N","3901.968mil","2724.016mil","3901.969mil","2724.016mil","3901.968mil","2750.000mil","TopLayer","270","CC0603KRX7R9BB104"
"C87","CAPC1608X90N","3851.968mil","2724.016mil","3851.969mil","2724.016mil","3851.968mil","2750.000mil","TopLayer","270","CL10A105KB8NNNC"
"C86","CAPC1608X90N","4475.984mil","3000.000mil","4475.984mil","3000.000mil","4450.000mil","3000.000mil","TopLayer","0","0603B103K500NT"
"C85","CAPC1608X90N","4475.984mil","3050.000mil","4475.984mil","3050.000mil","4450.000mil","3050.000mil","TopLayer","0","CC0603KRX7R9BB104"
"C84","CAPC1608X90N","4475.984mil","3100.000mil","4475.984mil","3100.000mil","4450.000mil","3100.000mil","TopLayer","0","CL10A105KB8NNNC"
"C83","CAPC1608X90N","3974.016mil","4000.000mil","3974.016mil","4000.000mil","3948.032mil","4000.000mil","TopLayer","0","CL10B683KB8NNNC"
"C82","CAPC1608X90N","3700.000mil","3400.000mil","3700.000mil","3400.000mil","3725.984mil","3400.000mil","TopLayer","180","0603B334K250NT"
"C81","CAPC1608X90N","3674.016mil","3100.000mil","3674.016mil","3100.000mil","3700.000mil","3100.000mil","TopLayer","180","CL10B102KB8NNNC"
"C80","CAPC1608X90N","3824.016mil","3074.370mil","3824.016mil","3074.370mil","3850.000mil","3074.370mil","TopLayer","180","0603B103K500NT"
"C79","CAPC1608X90N","4124.016mil","2550.000mil","4124.016mil","2550.000mil","4150.000mil","2550.000mil","TopLayer","180","CC0603KRX7R9BB104"
"C78","CAPC1608X90N","3925.984mil","2550.000mil","3925.984mil","2550.000mil","3900.000mil","2550.000mil","TopLayer","360","CC0603KRX7R9BB104"
"C77","CAPC1608X90N","3674.016mil","3050.000mil","3674.016mil","3050.000mil","3648.032mil","3050.000mil","TopLayer","0","CL10B102KB8NNNC"
"C70","CAPC1608X90N","3655.118mil","3900.000mil","3655.118mil","3900.000mil","3629.134mil","3900.000mil","TopLayer","360","Cap"
"C76","CAPC1608X90N","4275.984mil","3600.000mil","4275.984mil","3600.000mil","4250.000mil","3600.000mil","TopLayer","0","0603B103K500NT"
"C75","CAPC1608X90N","4275.984mil","3650.000mil","4275.984mil","3650.000mil","4250.000mil","3650.000mil","TopLayer","0","CC0603KRX7R9BB104"
"C74","CAPC1608X90N","4275.984mil","3700.000mil","4275.984mil","3700.000mil","4250.000mil","3700.000mil","TopLayer","0","CL10A105KB8NNNC"
"C73","CAPC1608X90N","3724.016mil","3650.000mil","3724.016mil","3650.000mil","3750.000mil","3650.000mil","TopLayer","180","0603B103K500NT"
"C72","CAPC1608X90N","3724.016mil","3700.000mil","3724.016mil","3700.000mil","3750.000mil","3700.000mil","TopLayer","180","CC0603KRX7R9BB104"
"C71","CAPC1608X90N","3724.016mil","3750.000mil","3724.016mil","3750.000mil","3750.000mil","3750.000mil","TopLayer","180","CL10A105KB8NNNC"
"C69","CAPC1608X90N","3700.000mil","3500.000mil","3700.000mil","3500.000mil","3674.016mil","3500.000mil","TopLayer","0","CL10B474KA8NNNC"
"C68","CAPC1608X90N","2750.000mil","2724.016mil","2750.000mil","2724.016mil","2750.000mil","2750.000mil","TopLayer","270","0603B103K500NT"
"C67","CAPC1608X90N","2700.000mil","2724.016mil","2700.000mil","2724.016mil","2700.000mil","2750.000mil","TopLayer","270","CC0603KRX7R9BB104"
"C66","CAPC1608X90N","2650.000mil","2724.016mil","2650.000mil","2724.016mil","2650.000mil","2750.000mil","TopLayer","270","CL10A105KB8NNNC"
"C65","CAPC1608X90N","3275.984mil","3000.000mil","3275.984mil","3000.000mil","3250.000mil","3000.000mil","TopLayer","0","0603B103K500NT"
"C64","CAPC1608X90N","3275.984mil","3050.000mil","3275.984mil","3050.000mil","3250.000mil","3050.000mil","TopLayer","0","CC0603KRX7R9BB104"
"C63","CAPC1608X90N","3275.984mil","3100.000mil","3275.984mil","3100.000mil","3250.000mil","3100.000mil","TopLayer","0","CL10A105KB8NNNC"
"C62","CAPC1608X90N","2775.984mil","4000.000mil","2775.984mil","4000.000mil","2750.000mil","4000.000mil","TopLayer","0","CL10B683KB8NNNC"
"C61","CAPC1608X90N","2500.000mil","3400.000mil","2500.000mil","3400.000mil","2525.984mil","3400.000mil","TopLayer","180","0603B334K250NT"
"C60","CAPC1608X90N","2474.016mil","3100.000mil","2474.016mil","3100.000mil","2500.000mil","3100.000mil","TopLayer","180","CL10B102KB8NNNC"
"C59","CAPC1608X90N","2624.016mil","3074.370mil","2624.016mil","3074.370mil","2650.000mil","3074.370mil","TopLayer","180","0603B103K500NT"
"C58","CAPC1608X90N","2924.016mil","2550.000mil","2924.016mil","2550.000mil","2950.000mil","2550.000mil","TopLayer","180","CC0603KRX7R9BB104"
"C57","CAPC1608X90N","2725.984mil","2550.000mil","2725.984mil","2550.000mil","2700.000mil","2550.000mil","TopLayer","0","CC0603KRX7R9BB104"
"C56","CAPC1608X90N","2474.016mil","3050.000mil","2474.016mil","3050.000mil","2448.032mil","3050.000mil","TopLayer","0","CL10B102KB8NNNC"
"C49","CAPC1608X90N","2455.118mil","3900.000mil","2455.118mil","3900.000mil","2429.134mil","3900.000mil","TopLayer","360","Cap"
"C55","CAPC1608X90N","3075.984mil","3600.000mil","3075.984mil","3600.000mil","3050.000mil","3600.000mil","TopLayer","0","0603B103K500NT"
"C54","CAPC1608X90N","3075.984mil","3650.000mil","3075.984mil","3650.000mil","3050.000mil","3650.000mil","TopLayer","0","CC0603KRX7R9BB104"
